SEC_ID,SEC_NM,LAST_PRICE_DATE,RETURN,RISK,AGG,BND,DBC,GSG,JNK,SPY,TIP,VBR,VNQ,VTI,VTV,VWO,000000
AGG,,2025-02-11,0.03552482589512811,0.05142716927358121,0.002644753739493575,0.002579457787413056,-0.0007369488388459484,-0.0010255670981478577,0.0013877760113713568,0.001121109347658656,0.0019276076090295633,0.0020274535289066652,0.004428334244401077,0.001235991947127447,0.001237201329899042,0.0016983057509574163,0.0
BND,,2025-02-11,0.033602184216283436,0.05043510757889761,0.002579457787413056,0.002543700076494975,-0.0006993934463239555,-0.0009754129630119856,0.001367515979883029,0.0011051815339867613,0.001897524744881478,0.0019874360453977884,0.004355397040503498,0.0012161938192806626,0.0012139566146802817,0.0016601154178831309,0.0
DBC,,2025-02-11,0.06356068470282053,0.13979298921522226,-0.0007369488388459484,-0.0006993934463239555,0.01954207983372725,0.020568336096357324,0.0002606474850463809,0.0022866711706693924,0.0002290672794938528,0.0014626054393351573,-0.001545201275915813,0.0022311932223675578,0.0007626922408732113,0.007383032005518425,0.0
GSG,,2025-02-11,0.07995964027884615,0.15247045692892955,-0.0010255670981478577,-0.0009754129630119856,0.020568336096357324,0.023247240236116563,0.00018671342487030362,0.0019921225346919876,3.66764824017778e-05,0.0012123000899131738,-0.002369936941297296,0.0019313178957389634,0.0007422201639643289,0.0068799433252968445,0.0
JNK,,2025-02-11,0.08306538996342608,0.041959855860894194,0.0013877760113713568,0.001367515979883029,0.0002606474850463809,0.00018671342487030362,0.001760629503867017,0.0034961578447263784,0.0010842421883012095,0.004642116168484501,0.004281431238055882,0.0037119518311302044,0.0029020704992323777,0.003031479576426288,0.0
SPY,,2025-02-11,0.19626644674223842,0.12622564676828413,0.001121109347658656,0.0011051815339867613,0.0022866711706693924,0.0019921225346919876,0.0034961578447263784,0.015932913902071636,0.0011203417311457667,0.014637077893513588,0.008764384699405074,0.016212324962291136,0.010016732279883386,0.010328388111082307,0.0
TIP,,2025-02-11,0.04337947280572287,0.041728880299316956,0.0019276076090295633,0.001897524744881478,0.0002290672794938528,3.66764824017778e-05,0.0010842421883012095,0.0011203417311457667,0.0017412994510347226,0.0019824876782875154,0.0032931534086384482,0.0012294310879302263,0.001231077584390252,0.0013328845247308314,0.0
VBR,,2025-02-11,0.1347975074607776,0.15842794829646095,0.0020274535289066652,0.0019874360453977884,0.0014626054393351573,0.0012123000899131738,0.004642116168484501,0.014637077893513588,0.0019824876782875154,0.025099414801426103,0.01567858513083196,0.016050525643899378,0.014937593400304693,0.011335123905658651,0.0
VNQ,,2025-02-11,0.12149263512680733,0.1585650807031248,0.004428334244401077,0.004355397040503498,-0.001545201275915813,-0.002369936941297296,0.004281431238055882,0.008764384699405074,0.0032931534086384482,0.01567858513083196,0.02514288481838848,0.00954921393339359,0.011248247553189138,0.007725890269465932,0.0
VTI,,2025-02-11,0.19272441396598833,0.12911615490093972,0.001235991947127447,0.0012161938192806626,0.0022311932223675578,0.0019313178957389634,0.0037119518311302044,0.016212324962291136,0.0012294310879302263,0.016050525643899378,0.00954921393339359,0.016670981456403458,0.010670000136669194,0.0106876873769884,0.0
VTV,,2025-02-11,0.1655925227909836,0.10565775639258058,0.001237201329899042,0.0012139566146802817,0.0007626922408732113,0.0007422201639643289,0.0029020704992323777,0.010016732279883386,0.001231077584390252,0.014937593400304693,0.011248247553189138,0.010670000136669194,0.011163561485913904,0.007142608751283626,0.0
VWO,,2025-02-11,0.12872380146189996,0.14712142022473423,0.0016983057509574163,0.0016601154178831309,0.007383032005518425,0.0068799433252968445,0.003031479576426288,0.010328388111082307,0.0013328845247308314,0.011335123905658651,0.007725890269465932,0.0106876873769884,0.007142608751283626,0.02164471228894284,0.0
000000,CASH,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
